,Local Authority,2013,2014,2015,2016,2013.1,2014.1,2015.1,2016.1,Square_Area
0,City of London,1.3730700179533213,1.3453333333333333,1.4060995184590692,1.4029093317182526,7648,8072,8760,8831.585714285715,2.9007888
6,Camden,2.2798630408892415,2.3203833613279317,2.371460895228726,2.3821703821732494,229719,234846,241059,243517.15714285715,21.755916
10,Greenwich,2.5234945517109537,2.5409305844524304,2.571135853293413,2.592388282338624,264008,268678,274803,278828.4142857143,47.3450172
11,Hackney,2.4662610195477197,2.494549246374064,2.519990632318501,2.53061614240355,257379,263150,269009,273550.9321428572,19.0623264
12,Hammersmith and Fulham,2.1455931796349663,2.12567036110118,2.104022516711622,2.098218481032574,178685,178365,179410,180191.74285714285,16.3946367
18,Islington,2.178054938396284,2.2045681228805107,2.25974593092497,2.2666404888008698,215671,221030,227692,231208.125,14.866542599999999
19,Kensington and Chelsea,1.831379472693032,1.8257159555815312,1.8224058238964642,1.8107001535275853,155594,156190,157711,156975.92142857143,12.121153199999998
21,Lambeth,2.3521107784431137,2.359777530589544,2.380970204021723,2.3906954772690745,314242,318216,324431,328382.325,26.832296399999997
22,Lewisham,2.372181697612732,2.405710754017305,2.4208190848396027,2.428724682015399,286180,291933,297325,300619.73214285716,35.146164299999995
27,Southwark,2.3768814207215097,2.3780694859298848,2.4065207229666563,2.407431075402949,298465,302538,308901,312921.72857142857,28.8524886
29,Tower Hamlets,2.4985350668375754,2.5847742992355296,2.664825345247766,2.669898210920025,272890,284015,295236,301853.46785714285,19.761623699999998
31,Wandsworth,2.2738429994141764,2.2658609175377467,2.265514261019879,2.2671863704297124,310516,312145,314544,317835.8714285714,34.2655677
32,Westminster,1.892865487316422,1.9381241173049764,2.0004871202113605,1.9907542088234298,226841,233292,242299,244137.33214285714,21.471017099999997
